pickup_datetime,dropoff_datetime,pickup_region,dropoff_region,fare_amount,trip_distance
2024-06-11 21:40:02,2024-06-11 21:44:02,东城区,东城区,13.4,2.2
2024-06-07 19:14:16,2024-06-07 19:25:16,丰台区,海淀区,20.1,4.3
2024-06-09 13:52:03,2024-06-09 13:55:03,西城区,通州区,16.6,1.0
2024-06-01 12:57:07,2024-06-01 13:10:07,大兴区,丰台区,19.9,5.3
2024-06-24 05:30:53,2024-06-24 05:39:53,西城区,朝阳区,18.4,5.1
2024-06-23 21:24:45,2024-06-23 21:27:45,西城区,朝阳区,18.0,1.0
2024-06-10 18:57:42,2024-06-10 19:12:42,通州区,海淀区,23.7,7.3
2024-06-28 18:58:02,2024-06-28 19:22:02,昌平区,门头沟区,38.6,12.7
2024-06-13 18:38:40,2024-06-13 18:47:40,昌平区,丰台区,25.4,6.5
2024-06-09 19:38:45,2024-06-09 19:48:45,东城区,西城区,21.0,6.2
2024-06-11 07:30:53,2024-06-11 07:42:53,昌平区,顺义区,29.4,8.7
2024-06-13 11:16:06,2024-06-13 11:32:06,西城区,石景山区,31.9,10.3
2024-06-03 14:17:25,2024-06-03 14:42:25,海淀区,丰台区,29.6,9.3
2024-06-19 10:32:07,2024-06-19 10:43:07,西城区,石景山区,19.2,4.4
2024-06-14 09:00:50,2024-06-14 09:05:50,丰台区,石景山区,15.9,1.0
2024-06-15 23:50:46,2024-06-16 00:19:46,门头沟区,房山区,47.8,16.7
2024-06-06 13:28:20,2024-06-06 13:48:20,西城区,顺义区,31.1,10.0
2024-06-03 12:59:54,2024-06-03 13:48:54,朝阳区,门头沟区,43.0,14.7
2024-06-18 07:46:33,2024-06-18 08:16:33,东城区,大兴区,26.7,8.4
2024-06-27 15:56:35,2024-06-27 16:19:35,昌平区,朝阳区,43.7,14.6
2024-06-08 11:11:58,2024-06-08 11:41:58,东城区,丰台区,42.8,14.2
2024-06-29 14:22:55,2024-06-29 14:25:55,昌平区,门头沟区,13.5,1.8
2024-06-24 19:59:58,2024-06-24 20:12:58,朝阳区,通州区,27.5,7.2
2024-06-05 13:27:31,2024-06-05 13:39:31,昌平区,石景山区,19.6,4.8
2024-06-19 10:15:44,2024-06-19 11:08:44,门头沟区,东城区,26.9,8.9
2024-06-13 16:17:15,2024-06-13 17:00:15,房山区,顺义区,28.6,9.2
2024-06-04 07:43:21,2024-06-04 07:51:21,西城区,海淀区,14.7,3.7
2024-06-16 12:16:50,2024-06-16 12:47:50,石景山区,顺义区,44.3,14.7
2024-06-03 13:23:38,2024-06-03 13:58:38,顺义区,门头沟区,51.4,18.9
2024-06-08 07:04:53,2024-06-08 07:23:53,西城区,昌平区,28.3,8.3
2024-06-03 12:14:56,2024-06-03 12:40:56,西城区,丰台区,53.9,20.1
2024-06-01 09:57:35,2024-06-01 10:21:35,海淀区,通州区,33.4,10.4
2024-06-28 17:46:28,2024-06-28 17:52:28,通州区,海淀区,18.8,3.6
2024-06-09 09:07:29,2024-06-09 09:21:29,海淀区,房山区,24.9,6.7
2024-06-19 08:43:39,2024-06-19 09:01:39,昌平区,门头沟区,34.3,11.9
2024-06-27 07:30:49,2024-06-27 07:33:49,朝阳区,顺义区,14.4,1.0
2024-06-07 17:34:11,2024-06-07 17:43:11,朝阳区,房山区,24.0,7.3
2024-06-25 20:16:12,2024-06-25 20:39:12,朝阳区,东城区,34.8,10.9
2024-06-18 19:20:34,2024-06-18 19:25:34,丰台区,房山区,17.2,2.9
2024-06-26 08:25:50,2024-06-26 08:28:50,西城区,西城区,13.6,1.2
2024-06-28 15:39:06,2024-06-28 16:03:06,东城区,东城区,33.0,11.3
2024-06-04 19:49:27,2024-06-04 20:11:27,海淀区,石景山区,27.0,8.2
2024-06-18 11:29:18,2024-06-18 11:45:18,朝阳区,东城区,29.9,9.3
2024-06-18 12:41:19,2024-06-18 13:00:19,海淀区,丰台区,22.7,5.6
2024-06-17 18:21:01,2024-06-17 18:49:01,海淀区,东城区,39.4,13.5
2024-06-03 09:49:30,2024-06-03 10:02:30,朝阳区,门头沟区,26.1,7.4
2024-06-27 12:28:26,2024-06-27 13:00:26,东城区,西城区,42.2,15.1
2024-06-12 20:14:53,2024-06-12 20:48:53,朝阳区,通州区,38.2,12.7
2024-06-23 07:56:01,2024-06-23 08:20:01,朝阳区,石景山区,29.1,10.0
2024-06-27 17:28:09,2024-06-27 17:31:09,东城区,石景山区,13.4,1.0
2024-06-14 11:39:53,2024-06-14 12:05:53,房山区,顺义区,40.5,14.8
2024-06-30 17:22:20,2024-06-30 17:31:20,丰台区,西城区,25.9,6.5
2024-06-29 23:46:16,2024-06-30 00:00:16,朝阳区,通州区,30.4,8.5
2024-06-25 07:59:12,2024-06-25 08:10:12,海淀区,东城区,20.4,6.2
2024-06-13 12:59:35,2024-06-13 13:09:35,通州区,门头沟区,22.6,5.8
2024-06-27 18:04:48,2024-06-27 19:31:48,大兴区,东城区,52.7,19.4
2024-06-04 13:57:11,2024-06-04 14:04:11,丰台区,通州区,18.2,4.0
2024-06-05 18:08:54,2024-06-05 18:24:54,石景山区,门头沟区,25.5,8.4
2024-06-14 14:06:20,2024-06-14 14:19:20,通州区,大兴区,21.3,5.5
2024-06-13 13:39:59,2024-06-13 13:50:59,朝阳区,石景山区,26.8,8.1
2024-06-28 18:20:09,2024-06-28 18:41:09,大兴区,大兴区,32.9,10.6
2024-06-12 12:00:12,2024-06-12 12:05:12,东城区,顺义区,14.8,2.0
2024-06-04 17:56:45,2024-06-04 17:59:45,通州区,通州区,14.8,1.1
2024-06-11 07:20:57,2024-06-11 07:41:57,顺义区,昌平区,28.0,8.0
2024-06-07 09:12:23,2024-06-07 10:26:23,房山区,丰台区,49.7,18.9
2024-06-04 19:46:52,2024-06-04 20:11:52,丰台区,东城区,45.4,15.2
2024-06-23 07:22:29,2024-06-23 07:51:29,朝阳区,门头沟区,33.7,11.3
2024-06-20 08:41:23,2024-06-20 08:58:23,朝阳区,通州区,36.8,11.4
2024-06-16 12:38:46,2024-06-16 13:37:46,大兴区,房山区,56.3,19.9
2024-06-11 13:12:13,2024-06-11 13:15:13,朝阳区,西城区,13.1,1.0
2024-06-12 18:29:25,2024-06-12 18:47:25,通州区,门头沟区,23.0,5.6
2024-06-19 07:44:16,2024-06-19 07:58:16,海淀区,大兴区,27.1,8.4
2024-06-10 15:59:24,2024-06-10 16:12:24,海淀区,昌平区,24.1,6.7
2024-06-30 09:55:05,2024-06-30 10:06:05,石景山区,海淀区,25.7,6.5
2024-06-15 23:59:04,2024-06-16 00:06:04,西城区,门头沟区,20.8,5.5
2024-06-28 09:29:07,2024-06-28 10:12:07,东城区,大兴区,42.8,15.5
2024-06-26 09:02:29,2024-06-26 09:27:29,顺义区,顺义区,32.8,10.0
2024-06-26 10:32:04,2024-06-26 10:47:04,石景山区,大兴区,30.8,10.5
2024-06-13 13:50:56,2024-06-13 14:05:56,东城区,海淀区,29.4,9.7
2024-06-12 07:45:32,2024-06-12 08:33:32,东城区,丰台区,46.8,15.6
2024-06-04 09:16:22,2024-06-04 09:22:22,昌平区,海淀区,15.4,2.5
2024-06-25 13:31:36,2024-06-25 13:42:36,朝阳区,门头沟区,18.1,4.4
2024-06-02 16:09:45,2024-06-02 16:23:45,大兴区,丰台区,24.4,6.4
2024-06-04 10:46:43,2024-06-04 10:51:43,门头沟区,大兴区,16.6,3.3
2024-06-18 13:16:21,2024-06-18 13:27:21,通州区,昌平区,27.9,8.3
2024-06-03 19:40:32,2024-06-03 19:53:32,海淀区,门头沟区,21.2,6.5
2024-06-24 08:38:48,2024-06-24 08:55:48,西城区,门头沟区,31.9,10.7
2024-06-22 13:52:18,2024-06-22 14:16:18,朝阳区,昌平区,40.7,14.0
2024-06-16 23:31:50,2024-06-16 23:42:50,石景山区,顺义区,22.1,5.9
2024-06-03 14:15:19,2024-06-03 14:37:19,顺义区,丰台区,36.2,11.2
2024-06-02 18:13:58,2024-06-02 18:27:58,房山区,通州区,30.8,9.5
2024-06-14 17:34:41,2024-06-14 17:54:41,大兴区,通州区,33.4,10.7
2024-07-01 17:27:41,2024-07-01 17:49:41,朝阳区,房山区,31.1,10.4
2024-06-27 13:25:07,2024-06-27 13:37:07,通州区,大兴区,18.9,5.1
2024-06-22 05:26:34,2024-06-22 05:36:34,朝阳区,西城区,17.0,4.2
2024-06-15 20:00:11,2024-06-15 20:32:11,西城区,昌平区,26.8,8.2
2024-06-28 23:33:26,2024-06-29 00:01:26,昌平区,大兴区,25.6,7.5
2024-06-24 19:46:08,2024-06-24 19:55:08,石景山区,房山区,22.0,6.1
2024-07-01 18:07:17,2024-07-01 18:30:17,石景山区,西城区,38.1,12.0
2024-06-12 10:24:03,2024-06-12 10:44:03,朝阳区,昌平区,24.6,7.9
2024-06-18 09:02:42,2024-06-18 09:23:42,西城区,顺义区,30.8,9.4
2024-06-05 21:06:24,2024-06-05 21:13:24,海淀区,丰台区,15.9,3.4
2024-06-10 08:00:52,2024-06-10 08:10:52,海淀区,朝阳区,21.0,5.0
2024-07-01 13:36:40,2024-07-01 13:40:40,海淀区,大兴区,16.4,1.0
2024-06-11 13:38:47,2024-06-11 13:59:47,大兴区,门头沟区,18.5,5.2
2024-06-22 20:49:22,2024-06-22 21:19:22,东城区,海淀区,37.2,12.5
2024-06-30 10:53:54,2024-06-30 11:15:54,海淀区,门头沟区,33.7,11.1
2024-06-18 18:45:24,2024-06-18 19:24:24,西城区,石景山区,35.1,11.5
2024-06-04 19:46:46,2024-06-04 20:14:46,朝阳区,石景山区,44.6,14.8
2024-06-04 07:03:19,2024-06-04 07:21:19,朝阳区,昌平区,27.9,7.5
2024-06-29 11:29:34,2024-06-29 11:51:34,昌平区,门头沟区,48.3,16.6
2024-06-13 07:00:27,2024-06-13 07:27:27,石景山区,石景山区,33.6,11.7
2024-06-22 13:04:30,2024-06-22 13:10:30,东城区,丰台区,14.9,3.6
2024-06-15 10:31:31,2024-06-15 11:15:31,通州区,大兴区,34.8,11.5
2024-06-17 10:56:56,2024-06-17 11:12:56,朝阳区,顺义区,31.8,10.0
2024-06-17 13:37:03,2024-06-17 13:51:03,朝阳区,房山区,26.4,7.6
2024-06-21 11:47:36,2024-06-21 12:04:36,顺义区,西城区,23.3,5.3
2024-06-13 08:30:52,2024-06-13 09:01:52,石景山区,海淀区,18.0,5.1
2024-06-28 17:11:14,2024-06-28 17:39:14,东城区,昌平区,21.1,6.2
2024-06-02 19:31:52,2024-06-02 19:37:52,东城区,丰台区,16.2,4.0
2024-06-24 11:32:44,2024-06-24 11:44:44,海淀区,东城区,25.7,6.8
2024-06-25 07:09:29,2024-06-25 07:35:29,西城区,丰台区,28.4,9.3
2024-06-22 23:33:30,2024-06-23 00:07:30,门头沟区,顺义区,37.7,12.6
2024-06-26 13:51:14,2024-06-26 14:14:14,朝阳区,朝阳区,27.7,9.3
2024-06-23 11:56:36,2024-06-23 12:39:36,东城区,丰台区,41.4,13.3
2024-07-01 08:28:06,2024-07-01 08:38:06,海淀区,房山区,13.8,2.6
2024-06-10 16:54:58,2024-06-10 17:30:58,房山区,石景山区,31.2,9.1
2024-06-11 16:53:08,2024-06-11 17:09:08,昌平区,昌平区,25.1,7.9
2024-06-21 09:12:09,2024-06-21 09:22:09,朝阳区,海淀区,25.2,6.3
2024-06-28 08:06:43,2024-06-28 08:16:43,昌平区,大兴区,14.3,3.4
2024-06-09 16:55:12,2024-06-09 17:08:12,西城区,通州区,25.9,7.2
2024-06-01 14:56:21,2024-06-01 14:59:21,朝阳区,顺义区,16.3,1.0
2024-06-13 19:36:33,2024-06-13 19:50:33,朝阳区,石景山区,18.6,4.9
2024-06-21 22:48:42,2024-06-21 23:05:42,石景山区,通州区,25.9,6.9
2024-06-05 13:15:19,2024-06-05 13:35:19,西城区,大兴区,35.2,11.5
2024-06-18 08:01:24,2024-06-18 09:03:24,西城区,丰台区,44.0,15.9
2024-06-07 08:34:33,2024-06-07 09:12:33,东城区,大兴区,37.2,12.9
2024-06-09 16:52:19,2024-06-09 17:04:19,朝阳区,房山区,25.8,7.8
2024-06-28 13:19:22,2024-06-28 13:25:22,东城区,石景山区,18.3,5.2
2024-06-28 17:51:40,2024-06-28 18:27:40,昌平区,门头沟区,59.3,21.0
2024-06-24 13:01:35,2024-06-24 13:24:35,房山区,海淀区,25.7,6.8
2024-06-26 06:43:23,2024-06-26 06:46:23,丰台区,房山区,15.8,1.0
2024-06-10 19:27:17,2024-06-10 20:25:17,顺义区,房山区,44.8,16.2
2024-06-19 08:24:51,2024-06-19 08:27:51,昌平区,西城区,15.2,1.0
2024-06-29 16:56:10,2024-06-29 17:16:10,海淀区,通州区,18.5,5.2
2024-06-30 22:52:31,2024-06-30 22:58:31,东城区,朝阳区,13.7,1.0
2024-06-02 17:34:50,2024-06-02 17:43:50,西城区,石景山区,20.3,4.6
2024-06-07 10:54:17,2024-06-07 11:41:17,西城区,石景山区,35.1,11.5
2024-06-28 17:01:37,2024-06-28 17:04:37,朝阳区,西城区,13.6,1.0
2024-06-29 16:41:45,2024-06-29 16:53:45,昌平区,房山区,26.5,7.9
2024-06-07 07:21:02,2024-06-07 07:44:02,朝阳区,门头沟区,30.8,10.5
2024-06-28 12:47:47,2024-06-28 12:50:47,朝阳区,海淀区,16.2,1.0
2024-06-25 17:40:01,2024-06-25 18:02:01,丰台区,门头沟区,32.2,11.3
2024-06-25 17:05:37,2024-06-25 17:16:37,顺义区,东城区,24.0,6.5
2024-07-01 17:20:45,2024-07-01 17:31:45,朝阳区,朝阳区,24.8,6.6
2024-06-10 09:54:42,2024-06-10 10:10:42,西城区,房山区,37.7,12.4
2024-06-06 17:36:03,2024-06-06 18:14:03,西城区,丰台区,35.4,12.2
2024-06-25 19:52:30,2024-06-25 20:11:30,石景山区,通州区,30.1,9.8
2024-06-01 12:26:12,2024-06-01 12:29:12,海淀区,西城区,13.2,1.0
2024-06-12 21:51:56,2024-06-12 22:03:56,丰台区,房山区,24.8,7.6
2024-06-23 19:31:14,2024-06-23 19:43:14,通州区,东城区,30.4,8.4
2024-06-18 09:45:22,2024-06-18 09:50:22,海淀区,丰台区,15.6,2.7
2024-06-25 09:55:30,2024-06-25 10:21:30,丰台区,房山区,29.2,9.5
2024-06-21 09:04:30,2024-06-21 09:21:30,朝阳区,通州区,22.0,6.5
2024-06-08 16:11:04,2024-06-08 16:19:04,朝阳区,通州区,20.5,4.6
2024-06-28 11:21:34,2024-06-28 11:30:34,西城区,朝阳区,25.0,6.3
2024-06-27 07:43:26,2024-06-27 08:52:26,昌平区,海淀区,36.7,11.5
2024-06-14 14:03:16,2024-06-14 14:15:16,海淀区,海淀区,18.3,3.8
2024-06-23 19:21:32,2024-06-23 19:30:32,东城区,丰台区,20.6,6.0
2024-06-27 12:41:29,2024-06-27 12:47:29,昌平区,门头沟区,15.2,1.7
2024-06-08 11:37:21,2024-06-08 11:57:21,丰台区,东城区,38.8,13.4
2024-06-01 16:01:34,2024-06-01 16:30:34,房山区,海淀区,23.0,7.3
2024-06-03 11:14:31,2024-06-03 11:21:31,西城区,东城区,18.8,3.5
2024-06-23 11:43:43,2024-06-23 12:12:43,西城区,门头沟区,31.9,9.3
2024-06-29 07:52:07,2024-06-29 08:38:07,门头沟区,东城区,35.8,10.9
2024-06-05 09:19:51,2024-06-05 09:31:51,海淀区,西城区,37.1,11.4
2024-06-11 18:09:48,2024-06-11 18:43:48,海淀区,房山区,21.3,5.6
2024-06-16 20:50:53,2024-06-16 21:20:53,门头沟区,西城区,45.7,16.0
2024-06-13 11:51:53,2024-06-13 11:58:53,通州区,海淀区,17.8,5.0
2024-06-04 07:39:33,2024-06-04 07:50:33,大兴区,顺义区,18.7,4.3
2024-06-10 17:06:38,2024-06-10 17:44:38,丰台区,东城区,54.7,20.9
2024-06-08 09:20:03,2024-06-08 09:45:03,海淀区,顺义区,35.9,12.8
2024-06-05 14:46:01,2024-06-05 14:59:01,朝阳区,西城区,27.8,8.9
2024-06-25 18:39:49,2024-06-25 18:56:49,西城区,通州区,20.6,5.7
2024-06-23 17:49:09,2024-06-23 18:08:09,东城区,丰台区,34.2,11.5
2024-06-22 12:13:37,2024-06-22 12:28:37,丰台区,门头沟区,21.5,6.2
2024-06-27 10:57:13,2024-06-27 11:04:13,海淀区,顺义区,19.2,3.6
2024-06-30 10:33:55,2024-06-30 10:44:55,西城区,房山区,20.8,4.9
2024-06-01 18:13:10,2024-06-01 18:44:10,门头沟区,门头沟区,38.0,12.7
2024-06-25 08:00:19,2024-06-25 08:16:19,昌平区,通州区,32.6,10.6
2024-06-09 17:49:49,2024-06-09 18:11:49,昌平区,顺义区,25.4,6.3
2024-06-18 07:34:17,2024-06-18 07:37:17,朝阳区,顺义区,14.2,1.0
2024-06-05 09:23:09,2024-06-05 09:27:09,海淀区,海淀区,17.8,1.0
2024-06-13 07:44:30,2024-06-13 08:34:30,丰台区,朝阳区,29.8,8.3
2024-06-04 17:42:04,2024-06-04 18:12:04,丰台区,顺义区,28.3,8.9
2024-06-20 04:43:19,2024-06-20 04:49:19,朝阳区,门头沟区,17.0,1.0
2024-06-12 12:04:31,2024-06-12 12:46:31,丰台区,通州区,56.3,20.7
2024-06-06 10:36:55,2024-06-06 10:49:55,石景山区,西城区,27.2,7.6
2024-06-26 20:55:35,2024-06-26 21:03:35,朝阳区,门头沟区,20.7,5.4
2024-06-11 13:59:43,2024-06-11 14:09:43,朝阳区,昌平区,24.8,6.5
2024-06-17 07:19:32,2024-06-17 07:31:32,顺义区,门头沟区,23.5,6.4
2024-06-17 11:29:26,2024-06-17 11:39:26,海淀区,朝阳区,29.4,8.2
2024-06-09 09:26:54,2024-06-09 09:55:54,丰台区,朝阳区,48.8,17.9
2024-06-12 11:52:06,2024-06-12 12:20:06,丰台区,昌平区,37.8,13.1
2024-06-17 09:45:44,2024-06-17 10:08:44,西城区,东城区,30.7,10.4
2024-06-01 14:15:05,2024-06-01 14:29:05,朝阳区,朝阳区,20.9,4.9
2024-06-18 19:29:18,2024-06-18 19:41:18,西城区,昌平区,34.4,11.6
2024-07-01 02:36:54,2024-07-01 02:47:54,西城区,西城区,25.6,8.3
2024-06-04 18:19:02,2024-06-04 18:29:02,大兴区,门头沟区,15.3,3.2
2024-06-29 19:49:55,2024-06-29 19:52:55,海淀区,大兴区,15.5,1.0
2024-06-17 13:37:41,2024-06-17 14:04:41,门头沟区,通州区,31.0,9.5
2024-06-27 16:43:15,2024-06-27 16:56:15,朝阳区,海淀区,18.0,4.7
2024-06-17 16:27:13,2024-06-17 16:32:13,东城区,通州区,16.2,2.9
2024-06-08 13:09:28,2024-06-08 13:12:28,西城区,房山区,16.1,1.0
2024-06-07 11:49:04,2024-06-07 12:00:04,门头沟区,门头沟区,23.7,6.3
2024-06-30 23:27:18,2024-06-30 23:38:18,通州区,大兴区,29.0,8.3
2024-06-10 17:56:56,2024-06-10 17:59:56,大兴区,门头沟区,17.1,1.0
2024-06-13 08:02:50,2024-06-13 08:26:50,通州区,房山区,31.7,9.0
2024-06-17 10:07:51,2024-06-17 10:24:51,朝阳区,东城区,30.3,8.8
2024-06-06 18:16:03,2024-06-06 18:22:03,海淀区,丰台区,16.4,2.7
2024-06-26 13:36:43,2024-06-26 13:42:43,海淀区,丰台区,19.3,4.6
2024-06-15 09:38:38,2024-06-15 09:42:38,朝阳区,顺义区,15.8,2.3
2024-06-18 19:47:21,2024-06-18 20:13:21,东城区,东城区,33.2,10.0
2024-06-12 04:51:49,2024-06-12 05:17:49,东城区,海淀区,40.8,13.8
2024-06-03 13:13:36,2024-06-03 13:31:36,海淀区,顺义区,32.5,10.4
2024-06-16 13:29:30,2024-06-16 14:17:30,朝阳区,丰台区,48.9,16.6
2024-06-05 19:22:08,2024-06-05 19:53:08,顺义区,丰台区,37.8,13.0
2024-06-07 14:38:39,2024-06-07 14:54:39,丰台区,海淀区,38.4,13.0
2024-06-18 19:37:20,2024-06-18 19:47:20,门头沟区,西城区,15.5,3.2
2024-06-14 05:30:07,2024-06-14 05:51:07,海淀区,昌平区,29.7,10.2
2024-06-21 09:54:32,2024-06-21 10:18:32,海淀区,朝阳区,34.0,10.2
2024-06-01 11:57:29,2024-06-01 12:21:29,朝阳区,门头沟区,38.3,13.7
