satisfaction,evaluation,project_count,tenure,left
0.2,0.98,3,4,0
0.93,0.75,5,3,0
0.89,0.88,6,1,0
0.33,0.39,2,10,0
0.69,0.9,6,5,0
0.84,0.95,5,1,0
0.6,0.64,2,1,0
0.58,0.72,2,2,1
0.32,0.84,7,4,1
0.18,0.42,6,6,0
0.91,0.65,4,8,0
0.91,0.58,3,3,0
0.67,0.4,4,1,1
0.41,0.56,6,3,0
0.41,0.35,3,3,0
0.75,0.32,4,5,0
0.91,0.39,7,4,0
0.9,0.97,3,4,0
0.8,0.68,2,9,0
0.68,0.98,4,7,0
0.18,0.6,3,4,0
0.25,0.52,7,3,0
0.91,0.65,3,6,0
0.65,0.61,3,3,0
0.11,0.37,7,6,0
0.19,0.75,4,9,0
0.7,0.45,5,6,0
0.1,0.73,4,4,0
0.24,0.76,6,5,1
0.59,0.41,7,6,0
0.72,0.34,4,3,0
0.69,0.85,3,8,0
0.3,0.62,7,4,1
0.74,0.34,2,8,0
0.31,1.0,4,10,1
0.39,0.34,7,10,1
0.77,0.79,4,3,0
0.68,0.99,7,10,0
0.86,0.47,3,7,0
0.69,0.4,2,9,0
0.61,0.38,2,4,0
0.18,0.51,6,8,1
0.43,0.37,7,3,0
0.34,0.78,4,7,1
0.32,0.34,2,3,0
0.98,0.66,2,7,1
0.45,1.0,5,10,0
0.9,0.87,5,10,0
0.67,0.73,2,6,0
0.82,0.51,7,2,1
0.55,0.74,6,3,0
0.62,0.67,2,6,0
0.54,0.6,3,4,0
0.28,0.39,4,6,1
0.75,0.92,6,1,0
0.35,0.61,3,10,0
0.12,0.44,6,1,0
0.68,0.56,3,3,0
0.26,0.59,4,8,0
0.95,0.88,4,8,0
0.96,0.81,5,4,0
0.92,0.84,7,6,0
0.43,0.31,3,8,0
0.11,0.59,5,7,0
0.94,0.64,3,7,1
0.49,0.31,5,4,1
0.97,0.48,4,9,0
0.97,0.83,6,10,0
0.87,0.4,5,6,0
0.37,0.67,3,3,0
0.45,0.45,3,5,0
0.87,0.31,7,5,0
0.39,0.47,4,5,0
0.25,0.98,3,8,1
0.6,0.86,2,9,1
0.94,0.97,6,9,0
0.73,0.64,5,6,0
0.61,0.38,7,6,0
0.19,0.68,6,9,0
0.65,0.62,4,4,0
0.99,0.89,7,6,0
0.23,0.37,5,4,0
0.57,0.64,5,1,0
0.89,0.41,2,7,0
0.77,0.53,4,10,1
0.73,0.82,7,6,0
0.73,0.63,7,9,1
0.42,0.56,3,7,0
0.36,0.58,2,7,0
0.83,0.62,2,2,0
0.83,0.85,7,9,1
0.88,0.92,7,10,1
0.92,0.97,6,9,0
0.56,0.85,6,6,1
0.55,0.52,6,3,0
0.82,0.78,2,1,0
0.68,0.61,3,4,0
0.73,0.48,5,3,0
0.82,0.89,6,1,0
0.9,0.33,3,3,0
0.4,0.93,4,4,0
0.44,0.62,6,8,0
0.18,0.75,5,9,0
0.62,0.76,4,3,1
0.13,0.93,4,6,0
0.52,0.75,5,10,0
0.59,0.73,6,5,0
0.36,0.35,2,6,0
0.63,0.66,5,4,0
0.13,0.41,5,10,0
0.13,0.82,5,6,0
0.84,0.66,4,7,0
0.42,0.78,3,9,0
0.21,0.33,2,10,0
0.57,0.36,6,7,0
0.79,0.8,6,6,0
0.29,0.35,3,1,0
0.66,0.35,5,2,1
0.18,0.31,2,1,1
0.15,0.97,6,9,1
0.58,0.82,7,10,0
0.59,0.55,6,10,1
0.67,0.51,5,9,1
0.75,0.54,7,7,1
0.98,0.84,3,2,0
0.56,0.76,2,6,0
0.39,0.43,3,4,1
0.82,0.42,3,1,0
0.34,0.37,2,1,0
0.5,0.76,2,5,0
0.17,0.84,6,2,0
0.12,0.49,6,4,0
0.97,0.31,2,1,0
0.85,0.36,7,4,0
0.73,0.98,4,6,0
0.47,0.51,6,10,0
0.26,0.84,4,4,0
0.24,0.74,7,1,0
0.33,0.57,2,7,1
0.59,0.44,7,2,1
0.74,0.38,6,9,0
0.69,0.73,3,3,0
0.35,0.84,2,8,0
0.96,0.75,5,8,1
0.76,0.67,4,3,0
0.6,0.33,7,4,0
0.65,0.98,2,2,0
0.48,0.86,7,4,0
0.32,0.5,2,9,1
0.42,0.99,6,2,1
0.78,0.72,6,3,0
0.11,0.71,6,4,0
0.2,0.82,7,5,0
0.14,0.87,5,1,0
0.14,0.76,6,7,0
0.87,0.39,2,10,0
0.73,0.54,6,7,0
0.53,0.95,3,9,0
0.19,0.46,6,4,1
0.54,0.56,7,6,1
0.53,0.6,5,2,0
0.26,0.61,3,4,0
0.49,0.73,7,2,0
0.46,0.96,7,10,1
0.65,0.47,7,5,0
0.67,0.39,2,7,0
0.14,0.44,7,1,0
0.44,0.92,2,10,1
0.66,0.75,7,10,0
0.55,0.5,4,7,0
0.87,0.87,3,10,1
0.69,0.9,4,6,0
0.25,0.89,7,6,1
0.16,0.94,3,8,1
0.68,0.48,3,8,1
0.12,0.83,5,6,1
0.63,0.62,4,3,1
0.95,0.89,5,5,0
0.62,0.81,3,2,0
0.45,0.84,2,5,0
0.68,0.76,3,9,0
0.51,0.42,5,10,0
0.59,0.68,4,1,0
0.95,0.99,7,10,1
0.45,0.96,7,5,1
0.97,0.33,4,6,0
0.91,0.42,7,7,0
0.28,0.39,7,9,0
0.16,0.81,5,6,1
0.19,0.87,4,5,0
0.12,0.45,6,7,0
0.18,0.65,2,1,0
0.71,0.89,2,5,0
0.16,0.81,7,2,0
0.39,0.68,2,4,1
0.86,0.71,4,7,0
0.12,0.66,4,5,0
0.83,0.51,3,6,0
0.35,0.7,3,2,0
0.21,0.78,2,3,1
0.73,0.91,6,7,0
0.67,0.75,3,2,0
0.89,0.83,3,6,0
0.76,0.41,4,5,0
0.82,0.62,6,10,0
0.35,0.31,7,1,1
0.26,0.47,2,10,0
0.78,0.81,3,4,0
0.83,0.99,6,2,0
0.99,0.37,6,4,0
0.47,0.58,2,1,0
0.43,0.86,6,2,0
0.8,0.44,6,8,1
0.41,0.69,6,6,1
0.94,0.81,3,2,0
0.87,0.73,2,6,0
0.49,0.43,6,10,0
0.78,0.55,6,9,1
0.78,0.85,3,7,1
0.19,0.69,2,9,0
0.91,0.3,4,5,0
0.55,0.83,3,7,1
0.84,0.32,2,7,1
0.39,0.82,6,3,0
0.91,0.44,2,7,0
0.45,0.97,2,1,0
0.11,0.56,7,9,0
0.91,0.53,2,10,1
0.18,0.4,4,6,1
0.39,0.51,2,5,0
0.96,0.91,4,7,0
0.96,1.0,6,5,0
0.62,0.56,4,10,0
0.67,0.61,6,5,0
0.5,0.81,6,10,0
0.36,0.92,4,7,0
0.4,0.72,3,10,1
0.71,0.57,5,7,0
0.78,0.59,2,3,0
0.81,0.79,7,3,0
0.81,0.3,5,10,0
0.18,0.73,2,3,0
0.54,0.55,2,6,0
0.15,0.86,6,6,1
0.59,0.37,2,3,0
0.5,0.71,7,3,0
0.9,0.64,2,8,0
0.42,0.75,4,8,1
0.21,0.35,5,7,0
0.23,0.71,4,10,0
0.79,0.69,7,4,0
0.66,0.69,2,4,0
0.19,0.72,7,3,0
0.18,0.77,6,5,1
0.73,0.86,4,3,0
0.17,0.49,4,8,1
0.84,0.88,3,7,0
0.74,0.65,2,3,0
0.17,0.35,6,9,0
0.18,0.34,4,5,0
0.99,0.53,4,9,0
0.44,0.85,6,7,0
0.43,0.8,7,7,1
0.83,0.85,7,6,1
0.95,0.66,2,2,0
0.99,0.61,3,9,0
0.78,0.4,4,6,0
0.44,0.53,3,8,0
0.18,0.6,7,1,1
0.8,0.36,7,5,0
0.6,0.45,5,1,0
0.48,0.72,2,10,1
0.92,0.81,5,8,0
0.2,1.0,5,8,1
0.54,0.95,5,1,0
0.11,0.75,2,9,1
0.52,0.59,2,2,1
0.15,0.75,6,9,0
0.21,0.85,3,1,0
0.21,0.38,3,10,0
0.68,0.59,6,9,1
0.77,0.89,6,4,0
0.63,0.57,7,9,0
0.97,0.7,5,7,0
0.44,0.71,6,6,1
0.36,0.43,4,5,0
0.88,0.55,3,9,0
0.3,0.53,6,2,0
0.97,0.32,4,2,0
0.11,0.32,4,9,0
0.97,0.88,4,3,0
0.14,0.49,7,8,1
0.9,0.66,7,9,0
0.57,0.51,4,8,1
0.99,0.96,7,4,0
0.17,0.48,5,1,0
0.6,0.6,4,4,0
0.97,0.91,5,9,0
0.57,0.89,5,2,0
0.67,0.43,4,3,0
0.73,0.86,3,10,0
0.51,0.62,4,8,0
0.66,0.64,4,6,0
0.63,0.39,7,8,0
0.91,0.36,4,7,1
0.14,0.81,3,5,0
0.35,0.65,7,9,0
0.96,0.61,2,4,0
0.9,0.81,2,6,0
0.51,0.84,5,2,0
0.66,0.41,5,2,1
0.35,0.73,3,2,0
0.27,0.39,6,10,1
0.52,0.83,2,7,0
0.42,0.76,5,2,0
0.63,0.97,2,2,1
0.17,0.35,3,9,0
0.98,0.34,3,7,1
0.99,0.5,6,3,0
0.73,0.48,6,3,1
0.58,0.47,7,7,1
0.38,0.93,3,5,0
0.83,0.47,5,10,0
0.72,0.49,2,6,0
0.25,0.83,4,8,0
0.92,0.61,6,9,0
0.84,0.84,4,1,0
0.95,0.35,5,3,0
0.75,0.64,6,7,1
0.65,0.32,4,6,0
0.48,0.34,5,7,0
0.94,0.93,2,8,0
0.88,0.4,5,6,0
0.14,0.67,7,3,0
0.12,0.59,6,2,0
0.44,0.54,3,7,1
0.83,0.93,2,1,0
0.99,0.32,4,3,0
0.24,0.76,6,4,0
0.63,0.97,3,1,0
0.44,0.69,5,5,0
0.97,0.96,3,10,0
0.86,0.34,6,3,0
0.85,0.59,6,2,0
0.52,0.48,7,3,0
0.47,0.81,7,8,0
0.35,0.99,3,6,1
0.15,0.48,5,7,1
0.88,0.76,3,6,1
0.83,0.44,6,6,1
1.0,0.7,6,3,0
1.0,0.62,4,8,0
0.6,0.98,7,7,1
0.79,0.73,4,7,1
0.95,0.54,2,6,1
0.86,0.38,6,5,0
0.32,0.41,4,10,0
0.51,0.46,3,8,1
0.22,0.48,7,5,0
0.96,0.9,7,9,1
0.65,0.69,5,9,1
0.31,0.67,3,1,0
0.7,0.38,5,6,0
0.66,0.9,4,7,0
0.42,0.81,2,3,0
0.2,0.35,3,7,0
0.7,0.8,3,7,1
0.57,0.68,3,2,1
0.8,0.36,5,7,1
0.57,0.62,4,1,0
0.87,0.64,3,5,0
0.6,0.42,3,9,1
0.6,0.96,7,7,0
0.89,0.89,2,7,0
0.46,0.77,7,2,0
0.22,0.62,7,8,1
0.13,0.59,2,3,0
0.78,0.76,4,8,0
0.66,0.68,7,3,0
0.73,0.34,4,10,0
0.29,0.66,7,7,0
0.22,0.86,6,2,0
0.11,0.62,2,4,0
0.42,0.34,7,6,0
0.63,0.85,6,9,1
0.45,0.44,5,5,0
0.49,0.48,6,9,1
0.91,0.42,3,5,0
0.41,0.53,7,10,1
0.56,0.83,6,8,0
0.81,0.66,4,1,0
0.46,0.44,5,7,1
0.66,0.91,7,4,0
0.88,0.92,3,5,0
0.95,0.91,6,6,1
0.23,0.47,5,5,0
0.93,0.62,7,1,0
0.54,0.99,5,9,0
0.33,0.84,3,2,1
0.51,0.32,6,9,1
0.98,0.35,5,10,0
0.54,0.62,5,2,0
0.4,0.94,2,9,0
0.67,0.68,5,6,1
0.32,0.65,2,9,1
0.17,0.37,6,6,0
0.22,0.76,7,6,0
0.22,0.88,7,2,0
0.24,0.57,6,8,0
0.22,0.84,6,3,1
0.68,0.98,4,7,0
0.26,0.44,6,5,0
0.41,0.67,5,3,0
0.91,0.5,7,1,1
0.53,0.85,3,8,0
0.7,0.7,7,3,0
0.26,0.74,2,2,0
0.27,0.86,7,1,1
0.14,0.58,4,4,1
0.25,0.94,6,8,0
0.35,0.67,6,3,0
0.26,0.41,7,1,0
0.18,0.79,3,4,0
0.21,0.86,3,9,0
0.51,0.52,4,1,1
0.29,0.9,2,2,0
0.43,0.93,7,9,1
0.55,0.49,6,2,0
0.72,0.99,7,3,0
0.14,0.4,4,7,1
0.82,0.44,5,3,0
0.67,0.43,5,9,0
0.17,0.93,4,6,1
0.89,0.76,6,3,0
0.93,0.41,4,9,0
0.15,0.61,6,1,0
0.35,0.73,3,10,1
0.83,0.36,4,3,0
0.77,0.92,6,1,0
0.27,0.86,4,2,0
0.29,0.65,4,8,1
0.43,0.98,6,7,1
0.54,0.59,6,2,1
0.66,0.99,2,2,0
0.43,0.77,4,9,0
0.52,0.74,5,6,0
0.77,0.42,4,5,0
0.13,0.92,4,10,0
0.33,0.6,6,6,0
0.74,0.41,4,9,0
0.91,0.31,7,7,1
0.56,0.69,4,10,0
0.58,0.67,7,10,0
0.2,0.8,5,9,1
0.5,0.92,6,4,0
0.58,0.36,4,2,0
0.32,0.81,7,8,0
0.34,0.43,7,4,1
0.44,0.9,7,9,1
0.12,0.87,3,4,1
0.39,0.68,2,8,0
0.29,0.8,5,9,1
0.39,0.52,4,9,0
0.21,0.63,3,10,0
0.9,0.88,4,4,0
0.63,0.62,4,1,0
0.71,0.55,6,3,0
0.81,0.65,6,9,0
0.55,0.88,6,4,0
0.18,0.53,3,5,0
0.58,0.42,4,7,1
0.63,0.8,2,5,0
0.77,0.88,5,4,0
0.49,0.37,6,2,0
0.21,0.47,6,2,1
0.36,0.4,4,4,0
0.43,0.54,4,10,0
0.68,0.62,3,10,0
0.61,0.82,3,9,0
0.42,0.76,6,8,1
0.99,0.73,4,3,0
0.65,0.55,2,9,0
0.31,0.89,5,5,1
0.19,0.63,4,3,0
0.24,0.99,4,5,0
0.32,0.74,7,10,0
0.24,0.39,3,4,0
0.27,0.77,5,8,1
0.36,0.53,6,5,0
0.26,0.78,4,10,1
0.91,0.35,6,8,0
0.17,0.42,4,9,0
0.57,0.9,6,4,0
0.47,0.46,5,7,1
0.98,0.89,3,2,0
0.2,0.5,5,6,0
0.46,0.75,7,8,1
0.97,0.79,2,7,0
0.88,0.66,3,7,0
0.84,0.51,5,8,0
0.33,0.45,7,7,0
0.25,0.32,2,5,0
0.7,0.51,7,7,1
0.94,0.76,4,10,0
0.6,0.96,4,3,1
0.61,0.91,6,5,0
0.35,0.84,3,7,0
0.79,0.85,4,9,0
0.27,0.77,7,2,0
0.39,0.48,3,4,0
0.48,0.94,4,7,0
0.56,0.77,6,1,0
0.32,0.69,5,2,0
0.2,0.38,6,9,1
0.65,0.61,2,10,0
0.36,0.62,4,7,0
0.62,0.91,2,10,0
0.24,0.68,2,7,1
0.53,0.57,7,6,1
0.58,0.98,3,3,0
0.15,0.38,7,10,1
0.4,0.6,4,3,0
0.22,0.33,2,2,1
0.16,0.82,5,6,1
0.99,0.94,2,4,0
0.39,0.5,5,5,0
0.83,0.9,7,3,0
0.33,0.5,7,6,1
0.71,0.94,3,3,0
0.78,0.83,2,8,0
0.64,0.86,6,9,0
0.52,0.31,7,4,0
0.47,0.97,7,9,1
0.41,0.81,3,7,1
0.94,0.51,5,3,0
0.85,0.88,3,7,1
0.97,0.5,2,1,0
0.21,0.91,4,3,0
0.76,0.38,4,6,0
0.94,0.79,5,4,1
0.26,0.68,7,7,0
0.16,0.37,5,3,1
0.77,0.47,7,1,0
0.62,0.31,7,9,0
0.86,0.63,4,6,0
0.23,0.51,5,8,0
0.82,0.72,3,3,0
0.28,0.51,7,8,0
0.25,0.51,6,2,0
0.25,0.82,6,4,1
0.83,0.33,3,3,1
0.7,0.93,6,10,0
0.57,0.9,2,1,0
0.42,0.77,7,7,0
0.89,0.72,3,10,0
0.45,0.92,5,2,0
0.83,0.43,7,4,0
0.5,0.36,3,9,0
0.44,0.47,4,6,1
0.52,0.86,5,8,0
0.37,0.32,4,2,0
0.77,0.71,7,7,0
0.55,1.0,5,6,0
0.31,0.9,6,9,0
0.91,0.67,3,7,0
0.45,0.34,7,1,1
0.59,0.88,2,8,0
0.92,0.72,5,10,1
0.66,0.38,5,3,0
0.21,0.37,7,2,1
0.95,0.94,7,3,0
0.66,0.77,4,6,1
0.4,0.88,6,3,1
0.23,0.92,4,10,0
0.81,0.7,4,5,1
0.66,0.66,6,6,1
0.58,0.6,2,8,1
0.9,0.52,4,7,0
0.81,0.6,4,8,1
0.24,0.84,5,3,1
0.38,0.72,6,4,0
0.32,0.92,3,6,1
0.77,0.61,2,7,0
0.13,0.72,2,9,0
0.61,0.74,6,1,0
0.79,0.71,7,8,0
0.89,0.79,7,8,0
0.41,0.47,5,6,0
0.84,0.66,5,4,1
0.2,0.37,6,3,0
0.86,0.57,5,3,0
0.21,0.64,2,6,0
0.46,0.76,2,8,0
0.82,0.97,3,7,1
0.23,0.72,7,1,1
0.31,0.82,6,6,1
0.75,0.65,4,7,0
0.75,0.74,7,7,0
0.68,0.35,4,9,0
0.72,0.48,3,10,0
0.59,0.55,3,5,0
0.33,0.63,5,1,0
0.41,0.33,3,2,0
0.26,0.4,3,4,1
0.92,0.49,4,5,0
0.63,0.98,5,9,0
0.46,0.53,3,1,0
0.52,0.64,7,3,0
0.95,0.44,3,5,0
0.24,0.73,5,3,0
0.63,0.5,6,4,0
0.56,0.44,5,3,1
0.65,0.66,4,4,0
0.12,0.3,6,1,0
0.88,0.31,7,8,0
0.94,0.45,2,4,0
0.61,0.33,5,7,1
0.73,0.38,4,2,0
0.93,0.54,7,2,1
0.74,0.86,6,6,0
0.24,0.7,7,2,0
0.62,0.66,5,6,1
0.65,0.51,3,2,0
0.48,0.95,5,4,0
0.76,0.58,2,7,0
0.94,0.36,5,8,0
0.93,0.73,6,3,0
0.51,0.38,6,9,1
0.2,0.54,5,2,1
0.99,0.66,6,8,0
0.86,0.91,3,8,0
0.21,0.65,7,4,0
0.93,0.79,5,1,0
0.88,0.99,3,1,0
0.57,0.39,7,2,0
0.63,0.49,7,9,0
0.46,0.58,3,2,0
0.15,0.6,4,2,0
0.4,0.59,5,6,1
0.82,0.94,7,7,0
0.1,0.8,7,7,1
0.4,0.73,6,9,0
0.46,0.52,7,6,1
0.58,0.88,3,8,1
0.93,0.97,7,6,0
0.41,0.87,4,2,1
0.41,0.3,5,1,0
0.76,0.75,5,5,0
0.51,0.34,7,9,0
0.3,0.48,2,8,0
0.51,0.34,2,4,0
0.23,0.72,3,5,1
0.26,0.78,2,5,0
0.55,0.38,3,6,0
0.48,0.57,6,3,1
0.92,0.62,3,5,0
0.43,0.56,2,2,0
0.62,0.38,7,10,1
0.67,0.59,6,1,0
0.11,0.83,2,1,0
0.7,0.35,3,10,1
0.26,0.36,4,7,0
0.96,0.55,5,2,0
0.23,0.96,2,4,0
0.47,0.77,3,5,1
0.18,0.78,6,7,1
1.0,0.55,2,2,0
0.55,0.72,2,6,0
0.64,0.31,5,1,0
0.16,0.75,3,7,0
0.77,0.94,4,9,0
0.29,0.73,6,5,1
0.91,0.91,3,5,0
0.28,0.81,6,4,0
0.27,0.38,2,3,0
0.13,0.93,5,9,0
0.52,0.35,5,5,1
0.61,0.67,7,8,0
0.16,0.4,4,9,0
0.8,0.31,5,5,0
0.51,0.6,2,10,0
0.57,0.51,4,9,0
0.5,0.64,3,2,0
0.46,0.7,5,9,0
0.6,0.33,4,4,0
0.24,0.39,2,6,0
0.26,0.69,7,6,0
0.88,0.54,6,6,1
0.95,0.81,6,2,0
0.44,0.76,2,7,0
0.34,0.89,2,6,0
0.68,0.78,6,1,0
0.47,0.6,7,2,1
0.12,0.77,4,7,0
0.24,0.49,6,1,1
0.74,0.51,2,1,0
0.69,0.85,5,1,0
0.12,0.61,3,8,1
0.3,0.86,7,4,0
0.31,0.88,7,4,0
0.7,0.9,5,2,0
0.12,0.94,5,1,1
0.19,0.6,2,10,0
0.82,0.52,6,9,1
0.26,0.71,4,7,0
0.69,0.56,7,4,1
0.31,0.72,7,6,0
0.19,0.79,5,2,0
0.32,0.78,6,7,0
0.75,0.56,7,2,1
0.87,0.42,4,10,0
0.85,0.6,5,8,0
0.46,0.4,4,8,0
0.7,0.92,6,1,0
0.28,0.54,7,8,0
0.36,0.41,3,2,1
0.91,0.32,7,6,1
0.11,0.75,6,1,0
0.18,0.75,7,5,1
0.29,0.54,7,7,1
0.12,0.35,2,10,0
0.26,0.59,7,1,1
0.62,0.52,7,2,0
0.48,0.77,4,7,1
0.9,0.72,3,6,0
0.84,0.56,4,3,0
0.41,0.45,4,10,0
0.33,0.99,5,2,0
0.44,0.62,2,10,0
0.63,0.78,4,4,1
0.34,0.4,6,3,1
0.66,0.64,6,7,1
0.47,0.32,7,8,0
0.6,0.65,5,2,0
0.49,0.97,2,10,0
0.37,0.57,2,7,0
0.95,0.33,7,8,0
0.79,0.32,6,6,1
0.23,0.57,3,6,0
0.88,0.41,5,10,0
0.54,0.32,7,1,0
0.91,0.83,5,4,0
0.82,0.62,6,1,0
0.48,0.5,6,4,1
0.12,0.93,3,2,0
0.34,0.38,3,5,1
0.59,0.97,2,10,0
0.67,0.52,5,9,0
0.33,0.92,5,10,0
0.23,0.72,6,3,1
0.85,0.88,2,8,0
0.99,0.99,7,3,0
0.57,0.5,5,6,0
0.25,0.97,2,4,0
0.35,0.57,2,8,0
0.12,0.57,6,6,1
0.92,0.54,2,8,0
0.21,0.68,3,1,0
0.62,0.41,3,6,0
0.35,0.69,4,1,0
0.6,0.68,6,1,0
0.69,0.83,7,8,0
0.85,0.88,4,7,0
0.29,0.61,3,3,0
0.11,0.51,4,6,0
0.22,0.48,6,9,1
0.91,0.44,6,7,0
0.89,0.34,2,3,0
0.64,0.54,5,6,0
0.64,0.49,2,4,0
0.7,0.98,6,3,0
0.26,0.69,3,9,0
0.92,0.54,7,10,0
0.48,0.71,3,2,1
0.44,0.4,2,1,0
0.57,0.61,7,2,0
0.14,0.74,6,7,0
0.25,0.64,3,10,1
0.76,0.58,6,1,0
0.17,1.0,7,6,1
0.64,0.92,7,7,0
0.32,0.74,3,9,0
0.45,0.7,6,8,0
0.36,0.73,4,6,0
0.42,0.44,6,3,0
0.75,0.58,7,8,0
0.37,0.33,6,7,1
0.61,0.63,2,3,0
0.53,0.68,4,9,0
0.7,0.46,5,2,1
0.94,0.97,2,3,0
0.76,0.94,5,2,0
0.29,0.81,3,1,1
0.13,0.67,5,4,0
0.34,0.91,6,5,0
0.64,0.39,5,6,0
0.15,0.85,7,5,1
0.55,0.39,2,1,0
0.64,0.86,2,3,0
0.4,0.49,5,1,1
0.79,0.91,2,5,0
0.2,0.96,7,5,0
0.17,0.4,2,6,0
0.76,0.62,5,8,1
0.55,0.99,4,10,0
0.72,0.64,4,1,0
0.49,0.9,3,4,0
0.32,0.71,2,10,0
0.84,0.56,5,1,0
0.82,0.5,2,9,0
0.73,0.44,6,7,0
0.34,0.83,7,7,1
0.63,0.57,2,5,0
0.42,0.66,2,7,0
0.18,0.64,4,2,0
0.93,0.7,7,4,0
